"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"8. Proposal Discussion Forum","","","0","0","17","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","1","0","28","0","0"
"Setup","","Cleanup","2","0","1","0","0"
"2. Delegation","","","1","0","7","0","0"
"6. Miscellaneous","","","0","0","17","0","0"
"","","","0","0","0","52","0"
"7. Proposal submission","","","1","0","19","0","0"
"4. Proposal visibility","","","0","0","11","0","0"
"Setup","","Authentication","0","0","16","0","0"
"3. DRep registration","","","4","0","5","0","0"
"Setup","","Faucet","1","0","0","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
